Accession,Organism_Name,Species,Pangolin,PangoVersions,Genotype,Isolate,Length,Nuc_Completeness,Geo_Location,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
MZ558160,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0081_51812734,29837,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-05-30,2021-07-14,ssRNA(+)
MZ558161,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CWS_0082_53616200,29837,complete,India,Homo sapiens,,"Prakash,S., Shukla,S., Mishra,H., Jain,A.",2021-06-05,2021-07-14,ssRNA(+)
MZ021503,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.1.306,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CD210761,29828,complete,India,Homo sapiens,oronasopharynx,"Shrivastava,S., Modak,M., Virkar,R., Pisal,S.R., Mishra,A.C., Arankalle,V.A.",2021-03-01,2021-06-24,ssRNA(+)
MZ021504,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CD210929,29804,complete,India,Homo sapiens,oronasopharynx,"Shrivastava,S., Modak,M., Virkar,R., Pisal,S.R., Mishra,A.C., Arankalle,V.A.",2021-03-06,2021-06-24,ssRNA(+)
MZ021505,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CD210927,29824,complete,India,Homo sapiens,oronasopharynx,"Shrivastava,S., Modak,M., Virkar,R., Pisal,S.R., Mishra,A.C., Arankalle,V.A.",2021-03-06,2021-06-24,ssRNA(+)
MZ021506,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CD210871,29805,complete,India,Homo sapiens,oronasopharynx,"Shrivastava,S., Modak,M., Virkar,R., Pisal,S.R., Mishra,A.C., Arankalle,V.A.",2021-03-03,2021-06-24,ssRNA(+)
MW969752,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.560,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CD210922,29820,complete,India,Homo sapiens,oronasopharynx,"Shrivastava,S., Modak,M., Virkar,R., Pisal,S.R., Mishra,A.C., Arankalle,V.A.",2021-03-05,2021-06-20,ssRNA(+)
MW969753,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.1.306,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CD211295,29819,complete,India,Homo sapiens,oronasopharynx,"Shrivastava,S., Modak,M., Virkar,R., Pisal,S.R., Mishra,A.C., Arankalle,V.A.",2021-03-23,2021-06-20,ssRNA(+)
MW969754,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CD211290,29803,complete,India,Homo sapiens,oronasopharynx,"Shrivastava,S., Modak,M., Virkar,R., Pisal,S.R., Mishra,A.C., Arankalle,V.A.",2021-03-23,2021-06-20,ssRNA(+)
MW969755,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CD211294,29834,complete,India,Homo sapiens,oronasopharynx,"Shrivastava,S., Modak,M., Virkar,R., Pisal,S.R., Mishra,A.C., Arankalle,V.A.",2021-03-23,2021-06-20,ssRNA(+)
MW969756,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CD211406,29815,complete,India,Homo sapiens,oronasopharynx,"Shrivastava,S., Modak,M., Virkar,R., Pisal,S.R., Mishra,A.C., Arankalle,V.A.",2021-03-27,2021-06-20,ssRNA(+)
MW969757,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.1.306,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CD208560,29868,complete,India,Homo sapiens,oronasopharynx,"Shrivastava,S., Modak,M., Virkar,R., Pisal,S.R., Mishra,A.C., Arankalle,V.A.",2020-09-16,2021-06-20,ssRNA(+)
MW969758,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.1.306,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,CD208550,29878,complete,India,Homo sapiens,oronasopharynx,"Shrivastava,S., Modak,M., Virkar,R., Pisal,S.R., Mishra,A.C., Arankalle,V.A.",2020-09-16,2021-06-20,ssRNA(+)
MZ413358,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.1.7,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC813,29783,complete,India,Homo sapiens,oronasopharynx,"Soni,T., Sharma,S., Saiyed,Z., Pandit,R., Raval,J., Patel,Z., Savaliya,N., Kumar,D., Duttaroy,B., Mishra,U., Shah,N., Joshi,C., Joshi,M.",2021-05-04,2021-06-19,ssRNA(+)
MZ401492,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC761b,29801,complete,India,Homo sapiens,oronasopharynx,"Patel,Z., Savaliya,N., Kumar,D., Soni,T., Sharma,S., Saiyed,Z., Pandit,R., Raval,J., Pethani,J., Mishra,U., Shah,N., Joshi,C., Joshi,M.",2021-04-19,2021-06-17,ssRNA(+)
MZ401493,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC761a,29801,complete,India,Homo sapiens,oronasopharynx,"Raval,J., Patel,Z., Savaliya,N., Kumar,D., Soni,T., Sharma,S., Saiyed,Z., Pandit,R., Pethani,J., Mishra,U., Shah,N., Joshi,C., Joshi,M.",2021-04-19,2021-06-17,ssRNA(+)
MZ401500,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC766,29801,complete,India,Homo sapiens,oronasopharynx,"Patel,Z., Savaliya,N., Kumar,D., Soni,T., Sharma,S., Saiyed,Z., Pandit,R., Raval,J., Pethani,J., Mishra,U., Shah,N., Joshi,C., Joshi,M.",2021-04-18,2021-06-17,ssRNA(+)
MZ363839,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC728,29801,complete,India,Homo sapiens,oronasopharynx,"Saiyed,Z., Pandit,R., Raval,J., Patel,Z., Savaliya,N., Kumar,D., Soni,T., Sharma,S., Pethani,J., Mishra,U., Shah,N., Joshi,C., Joshi,M.",2021-04-06,2021-06-10,ssRNA(+)
MZ359835,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.1.7,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC707,29783,complete,India,Homo sapiens,oronasopharynx,"Soni,T., Sharma,S., Saiyed,Z., Pandit,R., Raval,J., Patel,Z., Savaliya,N., Kumar,D., Pethani,J., Mishra,U., Shah,N., Joshi,C., Joshi,M.",2021-04-06,2021-06-09,ssRNA(+)
MZ359842,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.3,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC709,29795,complete,India,Homo sapiens,oronasopharynx,"Pandit,R., Raval,J., Patel,Z., Savaliya,N., Kumar,D., Soni,T., Sharma,S., Saiyed,Z., Shah,P., Mishra,U., Shah,N., Joshi,C., Joshi,M.",2021-03-20,2021-06-09,ssRNA(+)
MZ359879,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC718a,29801,complete,India,Homo sapiens,oronasopharynx,"Kumar,D., Soni,T., Sharma,S., Saiyed,Z., Pandit,R., Raval,J., Patel,Z., Savaliya,N., Duttaroy,B., Mishra,U., Shah,N., Joshi,C., Joshi,M.",2021-04-23,2021-06-09,ssRNA(+)
MZ359881,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC718b,29801,complete,India,Homo sapiens,oronasopharynx,"Soni,T., Sharma,S., Saiyed,Z., Pandit,R., Raval,J., Patel,Z., Savaliya,N., Kumar,D., Duttaroy,B., Mishra,U., Shah,N., Joshi,C., Joshi,M.",2021-04-23,2021-06-09,ssRNA(+)
MZ356522,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.6,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,THSTI-BAL-39,29858,complete,India,Homo sapiens,,"Kumar,S., Wangchuk,J., Pandey,A.K., Das,A., Medigeshi,G.R.",2020-04-07,2021-06-08,ssRNA(+)
MZ356523,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.6,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,THSTI-BAL-41,29866,complete,India,Homo sapiens,,"Kumar,S., Wangchuk,J., Pandey,A.K., Das,A., Medigeshi,G.R.",2020-04-07,2021-06-08,ssRNA(+)
MZ356524,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.6,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,THSTI-BAL-42,29865,complete,India,Homo sapiens,,"Kumar,S., Wangchuk,J., Pandey,A.K., Das,A., Medigeshi,G.R.",2020-04-07,2021-06-08,ssRNA(+)
MZ356525,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.6,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,THSTI-BAL-47,29861,complete,India,Homo sapiens,,"Kumar,S., Wangchuk,J., Pandey,A.K., Das,A., Medigeshi,G.R.",2020-04-07,2021-06-08,ssRNA(+)
MZ356526,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.6,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,THSTI-BAL-231,29869,complete,India,Homo sapiens,,"Kumar,S., Wangchuk,J., Pandey,A.K., Das,A., Medigeshi,G.R.",2020-04-11,2021-06-08,ssRNA(+)
MZ356527,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.6,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,THSTI-BAL-360,29853,complete,India,Homo sapiens,,"Kumar,S., Wangchuk,J., Pandey,A.K., Das,A., Medigeshi,G.R.",2020-04-13,2021-06-08,ssRNA(+)
MZ356528,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.6,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,THSTI-BAL-912,29858,complete,India,Homo sapiens,,"Kumar,S., Wangchuk,J., Pandey,A.K., Das,A., Medigeshi,G.R.",2020-04-16,2021-06-08,ssRNA(+)
MZ356529,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.6,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,THSTI-BAL-913,29865,complete,India,Homo sapiens,,"Kumar,S., Wangchuk,J., Pandey,A.K., Das,A., Medigeshi,G.R.",2020-04-16,2021-06-08,ssRNA(+)
MZ356530,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.6,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,THSTI-BAL-914,29782,complete,India,Homo sapiens,,"Kumar,S., Wangchuk,J., Pandey,A.K., Das,A., Medigeshi,G.R.",2020-04-16,2021-06-08,ssRNA(+)
MZ356531,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.6,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,THSTI-BAL-918,29869,complete,India,Homo sapiens,,"Kumar,S., Wangchuk,J., Pandey,A.K., Das,A., Medigeshi,G.R.",2020-04-16,2021-06-08,ssRNA(+)
MZ356532,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.6,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,THSTI2010A,29865,complete,India,Homo sapiens,,"Kumar,S., Wangchuk,J., Pandey,A.K., Das,A., Medigeshi,G.R.",2020-04-27,2021-06-08,ssRNA(+)
MZ356533,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.6,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,THSTI2010B,29862,complete,India,Homo sapiens,,"Kumar,S., Wangchuk,J., Pandey,A.K., Das,A., Medigeshi,G.R.",2020-04-27,2021-06-08,ssRNA(+)
MZ356534,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.6,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,THSTI2010C,29863,complete,India,Homo sapiens,,"Kumar,S., Wangchuk,J., Pandey,A.K., Das,A., Medigeshi,G.R.",2020-04-27,2021-06-08,ssRNA(+)
MZ356567,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.1.7,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,THSTI_292,29763,complete,India,Homo sapiens,oronasopharynx,"Khan,N.A., Shaman,H., Wangchuk,J., Pandey,A.K., Kanakan,A., Maurya,R., Vasudevan,J.S., Jha,N., Mehta,P., Pandey,R., Medigeshi,G.R.",2021-04-07,2021-06-08,ssRNA(+)
MZ356901,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,THSTI_556,29836,complete,India,Homo sapiens,oronasopharynx,"Khan,N.A., Shaman,H., Singh,J., Pargai,K., Wangchuk,J., Pandey,A.K., Kanakan,A., Maurya,R., Vasudevan,J.S., Jha,N., Mehta,P., Pandey,R., Medigeshi,G.R.",2021-04-19,2021-06-08,ssRNA(+)
MZ356902,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,THSTI_618,29850,complete,India,Homo sapiens,oronasopharynx,"Khan,N.A., Shaman,H., Singh,J., Pargai,K., Wangchuk,J., Pandey,A.K., Kanakan,A., Maurya,R., Vasudevan,J.S., Jha,N., Mehta,P., Pandey,R., Medigeshi,G.R.",2021-04-20,2021-06-08,ssRNA(+)
MZ356903,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,THSTI_637,29836,complete,India,Homo sapiens,oronasopharynx,"Khan,N.A., Shaman,H., Singh,J., Pargai,K., Wangchuk,J., Pandey,A.K., Kanakan,A., Maurya,R., Vasudevan,J.S., Jha,N., Mehta,P., Pandey,R., Medigeshi,G.R.",2021-04-20,2021-06-08,ssRNA(+)
MZ356904,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,AY.126,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,THSTI_164566,29836,complete,India,Homo sapiens,oronasopharynx,"Khan,N.A., Shaman,H., Singh,J., Pargai,K., Wangchuk,J., Pandey,A.K., Kanakan,A., Maurya,R., Vasudevan,J.S., Jha,N., Mehta,P., Pandey,R., Medigeshi,G.R.",2021-04-16,2021-06-08,ssRNA(+)
MZ350188,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC704b,29801,complete,India,Homo sapiens,oronasopharynx,"Pandit,R., Raval,J., Patel,Z., Savaliya,N., Kumar,D., Soni,T., Sharma,S., Saiyed,Z., Pethani,J., Mishra,U., Shah,N., Joshi,C., Joshi,M.",2021-04-02,2021-06-07,ssRNA(+)
MZ340499,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.1.7,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC632b,29783,complete,India,Homo sapiens,oronasopharynx,"Sharma,S., Saiyed,Z., Pandit,R., Raval,J., Patel,Z., Savaliya,N., Kumar,D., Soni,T., Khandelwal,N., Mishra,U., Shah,N., Joshi,C., Joshi,M.",2021-04-01,2021-06-04,ssRNA(+)
MZ340501,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC635b,29801,complete,India,Homo sapiens,oronasopharynx,"Kumar,D., Soni,T., Sharma,S., Saiyed,Z., Pandit,R., Raval,J., Patel,Z., Savaliya,N., Khandelwal,N., Mishra,U., Shah,N., Joshi,C., Joshi,M.",2021-04-04,2021-06-04,ssRNA(+)
MZ340502,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC635a,29801,complete,India,Homo sapiens,oronasopharynx,"Savaliya,N., Kumar,D., Soni,T., Sharma,S., Saiyed,Z., Pandit,R., Raval,J., Patel,Z., Khandelwal,N., Mishra,U., Shah,N., Joshi,C., Joshi,M.",2021-04-04,2021-06-04,ssRNA(+)
MZ340506,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC636b,29801,complete,India,Homo sapiens,oronasopharynx,"Sharma,S., Saiyed,Z., Pandit,R., Raval,J., Patel,Z., Savaliya,N., Kumar,D., Soni,T., Khandelwal,N., Mishra,U., Shah,N., Joshi,C., Joshi,M.",2021-03-27,2021-06-04,ssRNA(+)
MZ340507,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC636a,29801,complete,India,Homo sapiens,oronasopharynx,"Soni,T., Sharma,S., Saiyed,Z., Pandit,R., Raval,J., Patel,Z., Savaliya,N., Kumar,D., Khandelwal,N., Mishra,U., Shah,N., Joshi,C., Joshi,M.",2021-03-27,2021-06-04,ssRNA(+)
MZ340508,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.1.7,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC637a,29783,complete,India,Homo sapiens,oronasopharynx,"Saiyed,Z., Pandit,R., Raval,J., Patel,Z., Savaliya,N., Kumar,D., Soni,T., Sharma,S., Khandelwal,N., Mishra,U., Shah,N., Joshi,C., Joshi,M.",2021-03-27,2021-06-04,ssRNA(+)
MZ340509,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.1.7,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC637b,29783,complete,India,Homo sapiens,oronasopharynx,"Pandit,R., Raval,J., Patel,Z., Savaliya,N., Kumar,D., Soni,T., Sharma,S., Saiyed,Z., Khandelwal,N., Mishra,U., Shah,N., Joshi,C., Joshi,M.",2021-03-27,2021-06-04,ssRNA(+)
MZ340511,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.36,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC642a,29801,complete,India,Homo sapiens,oronasopharynx,"Kumar,D., Soni,T., Sharma,S., Saiyed,Z., Pandit,R., Raval,J., Patel,Z., Savaliya,N., Khandelwal,N., Mishra,U., Shah,N., Joshi,C., Joshi,M.",2021-03-28,2021-06-04,ssRNA(+)
MZ340512,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.36,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC642b,29801,complete,India,Homo sapiens,oronasopharynx,"Soni,T., Sharma,S., Saiyed,Z., Pandit,R., Raval,J., Patel,Z., Savaliya,N., Kumar,D., Khandelwal,N., Mishra,U., Shah,N., Joshi,C., Joshi,M.",2021-03-28,2021-06-04,ssRNA(+)
MZ340519,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC644b,29801,complete,India,Homo sapiens,oronasopharynx,"Pandit,R., Raval,J., Patel,Z., Savaliya,N., Kumar,D., Soni,T., Sharma,S., Saiyed,Z., Khandelwal,N., Mishra,U., Shah,N., Joshi,C., Joshi,M.",2021-03-29,2021-06-04,ssRNA(+)
MZ340520,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC644a,29801,complete,India,Homo sapiens,oronasopharynx,"Sharma,S., Saiyed,Z., Pandit,R., Raval,J., Patel,Z., Savaliya,N., Kumar,D., Soni,T., Khandelwal,N., Mishra,U., Shah,N., Joshi,C., Joshi,M.",2021-03-29,2021-06-04,ssRNA(+)
MZ340523,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.1.7,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC646,29801,complete,India,Homo sapiens,oronasopharynx,"Savaliya,N., Kumar,D., Soni,T., Sharma,S., Saiyed,Z., Pandit,R., Raval,J., Patel,Z., Khandelwal,N., Mishra,U., Shah,N., Joshi,C., Joshi,M.",2021-03-30,2021-06-04,ssRNA(+)
MZ340525,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC648,29801,complete,India,Homo sapiens,oronasopharynx,"Sharma,S., Saiyed,Z., Pandit,R., Raval,J., Patel,Z., Savaliya,N., Kumar,D., Soni,T., Khandelwal,N., Mishra,U., Shah,N., Joshi,C., Joshi,M.",2021-03-31,2021-06-04,ssRNA(+)
MZ340528,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC650b,29802,complete,India,Homo sapiens,oronasopharynx,"Patel,Z., Savaliya,N., Kumar,D., Soni,T., Sharma,S., Saiyed,Z., Pandit,R., Raval,J., Khandelwal,N., Mishra,U., Shah,N., Joshi,C., Joshi,M.",2021-04-02,2021-06-04,ssRNA(+)
MZ340529,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.36,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC650a,29802,complete,India,Homo sapiens,oronasopharynx,"Raval,J., Patel,Z., Savaliya,N., Kumar,D., Soni,T., Sharma,S., Saiyed,Z., Pandit,R., Khandelwal,N., Mishra,U., Shah,N., Joshi,C., Joshi,M.",2021-04-02,2021-06-04,ssRNA(+)
MZ340532,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.36,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC652a,29802,complete,India,Homo sapiens,oronasopharynx,"Soni,T., Sharma,S., Saiyed,Z., Pandit,R., Raval,J., Patel,Z., Savaliya,N., Kumar,D., Khandelwal,N., Mishra,U., Shah,N., Joshi,C., Joshi,M.",2021-04-02,2021-06-04,ssRNA(+)
MZ340533,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.36,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC652b,29802,complete,India,Homo sapiens,oronasopharynx,"Sharma,S., Saiyed,Z., Pandit,R., Raval,J., Patel,Z., Savaliya,N., Kumar,D., Soni,T., Khandelwal,N., Mishra,U., Shah,N., Joshi,C., Joshi,M.",2021-04-02,2021-06-04,ssRNA(+)
MZ340535,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.2,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC653a,29802,complete,India,Homo sapiens,oronasopharynx,"Saiyed,Z., Pandit,R., Raval,J., Patel,Z., Savaliya,N., Kumar,D., Soni,T., Sharma,S., Khandelwal,N., Mishra,U., Shah,N., Joshi,C., Joshi,M.",2021-03-31,2021-06-04,ssRNA(+)
MZ340536,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC654a,29801,complete,India,Homo sapiens,oronasopharynx,"Raval,J., Patel,Z., Savaliya,N., Kumar,D., Soni,T., Sharma,S., Saiyed,Z., Pandit,R., Gandhi,V., Mishra,U., Shah,N., Joshi,C., Joshi,M.",2021-04-03,2021-06-04,ssRNA(+)
MZ340537,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC653b,29802,complete,India,Homo sapiens,oronasopharynx,"Pandit,R., Raval,J., Patel,Z., Savaliya,N., Kumar,D., Soni,T., Sharma,S., Saiyed,Z., Gandhi,V., Mishra,U., Shah,N., Joshi,C., Joshi,M.",2021-03-31,2021-06-04,ssRNA(+)
MZ340539,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC655b,29801,complete,India,Homo sapiens,oronasopharynx,"Kumar,D., Soni,T., Sharma,S., Saiyed,Z., Pandit,R., Raval,J., Patel,Z., Savaliya,N., Duttaroy,B., Mishra,U., Shah,N., Joshi,C., Joshi,M.",2021-04-02,2021-06-04,ssRNA(+)
MZ340540,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC654b,29801,complete,India,Homo sapiens,oronasopharynx,"Patel,Z., Savaliya,N., Kumar,D., Soni,T., Sharma,S., Saiyed,Z., Pandit,R., Raval,J., Gandhi,V., Mishra,U., Shah,N., Joshi,C., Joshi,M.",2021-04-03,2021-06-04,ssRNA(+)
MZ340541,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC656a,29801,complete,India,Homo sapiens,oronasopharynx,"Soni,T., Sharma,S., Saiyed,Z., Pandit,R., Raval,J., Patel,Z., Savaliya,N., Kumar,D., Duttaroy,B., Mishra,U., Shah,N., Joshi,C., Joshi,M.",2021-04-06,2021-06-04,ssRNA(+)
MZ340542,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.36,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC657,29802,complete,India,Homo sapiens,oronasopharynx,"Saiyed,Z., Pandit,R., Raval,J., Patel,Z., Savaliya,N., Kumar,D., Soni,T., Sharma,S., Duttaroy,B., Mishra,U., Shah,N., Joshi,C., Joshi,M.",2021-04-06,2021-06-04,ssRNA(+)
MZ340543,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.617.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC656b,29801,complete,India,Homo sapiens,oronasopharynx,"Sharma,S., Saiyed,Z., Pandit,R., Raval,J., Patel,Z., Savaliya,N., Kumar,D., Soni,T., Duttaroy,B., Mishra,U., Shah,N., Joshi,C., Joshi,M.",2021-04-06,2021-06-04,ssRNA(+)
MZ340545,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,B.1.1,4.3.1/1.34/v0.1.12/0.3.19/0.6.3,,GBRC659a,29802,complete,India,Homo sapiens,oronasopharynx,"Patel,Z., Savaliya,N., Kumar,D., Soni,T., Sharma,S., Saiyed,Z., Pandit,R., Raval,J., Pethani,J., Mishra,U., Shah,N., Joshi,C., Joshi,M.",2021-04-13,2021-06-04,ssRNA(+)
